Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Rembrandt van Rijn";"1654";"17. storočie, 2. polovica, 1654";;;;;"G 2056";;;"Čičo, Martin";"papier, ručný, nažltlý";"výška 21.1 cm; šírka 16.1 cm; výška 21.1 cm; šírka 16.1 cm; výška 21.5 cm; šírka 16.5 cm";"1.1.1951";"Kristus v Emauzoch";"Kristus v Emauzoch | Večera v Emauzoch ; Supper at Emmaus (Christ at Emmaus) (Preklad názvu)";"SNG";"SVK:SNG.G_2056";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 24-25.";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"neznačené";"figurálna kompozícia"
"Goltzius, Hendrick";"1570 - 1590";"16. storočie, 2. polovica, 1580 okolo";;"alegórií";;;"G 2060";"1.1.1982";;"Čičo, Martin";"papier, ručný, našedlý";"výška 20.0 cm; šírka 14.0 cm";"6.3.1951";"Alegória zemepisu";"Alegória zemepisu";"SNG";"SVK:SNG.G_2060";"POZN: ";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo dole: H.G. fe. Latinský text";"figurálna kompozícia"
"Goltzius, Hendrick";"1597";"16. storočie, 2. polovica, 1597";;"Pašiový cyklus (I – XII), 1596 -98";;;"G 2238";"1.1.1982";;"Čičo, Martin";"papier, ručný, nahnedlý";"výška 19.6 cm; šírka 12.9 cm; výška 20.0 cm; šírka 13.0 cm";"1.1.1951";"Kristus sa modlí na Olivovej hore (2)";"Kristus sa modlí na Olivovej hore (2) | Spiaci apoštoli - Kristus na hore Olivetskej (Predchádzajúci názov)";"SNG";"SVK:SNG.G_2238";"POZN: Lit.: H VIII, s. 10-11, kat. 22; Bludní Holanďania 2007, s. 72.";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole: Ao 97 / HG (iniciály spojené) / 2";"figurálna kompozícia"
"Canot, Pierre Charles | Teniers, David";"1750 - 1770";"18. storočie, 2. polovica, 1750-1770";;;;;"G 2316";"1.1.1982";;"Čičo, Martin";"papier, ručný, nahnedlý";"výška 32.0 cm; šírka 41.5 cm";"6.3.1951";"Zaľúbený pisár";"Zaľúbený pisár";"SNG";"SVK:SNG.G_2316";"POZN: ";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"v strede: text; vľavo a vpravo: mená autorov";"figurálna kompozícia"
"Müller, Johann | Rubens, Peter Paul";"1590 - 1600";"16. storočie, 2. polovica, 1590-1600";;;;;"G 2326";"1.1.1982";;"Čičo, Martin";"papier, ručný, zahnedlý";"výška 38.0 cm; šírka 28.9 cm; výška 52.0 cm; šírka 37.0 cm";"1.1.1951";"Arcivojvoda Albert Rakúsky";"Arcivojvoda Albert Rakúsky | Archduke Albert of Austria (Preklad názvu)";"SNG";"SVK:SNG.G_2326";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 18.";"1484/221";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"dole: Ioannes Muller Sculptor demotions ergo d.d.Ex Archetypo Pauli Rubeny demotions ergo d.d.";"portrét"
"Zucchi, Lorenzo | Manyöki, Adam de";"1740 - 1770";"18. storočie, polovica, 1740-1770";;;;;"G 2374";;;"Čičo, Martin";"papier, ručný, zašedlý";"výška 51.7 cm; šírka 37.7 cm; výška 53.3 cm; šírka 38.9 cm";"1.1.1951";"Augustus III.";"Augustus III.";"SNG";"SVK:SNG.G_2374";"POZN: ";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: L.Zucchi sculp.; vľavo dole: A.de Manyöki pinx.";"portrét"
"Masson, Antoin | Mignard, Nicolas";"1667";"17. storočie, 2. polovica, 1667";;;;;"G 2377";"1.1.1982";;"Čičo, Martin";"papier, ručný, nažltlý";"výška 52.0 cm; šírka 40.5 cm; výška 56.0 cm; šírka 42.5 cm";"1.1.1951";"Comte de Harcuort";"Comte de Harcuort";"SNG";"SVK:SNG.G_2377";"POZN: ";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"dole: francúzsky nápis; vľavo hore: N.Mignard pin.,  A.Masson sc. 1667";"portrét"
"Rossi, Andreas | Battoni, Pompeo";"1775";"18. storočie, 2. polovica, 1775";;;;;"G 2418";;;"Čičo, Martin";"kartón, zažltlý";"výška 62.8 cm; šírka 44.1 cm";"1.1.1951";"Cisár Jozef II. a knieža Leopold";"Cisár Jozef II. a knieža Leopold";"SNG";"SVK:SNG.G_2418";"POZN: ";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: Andreas Rossi Venet scuptis Romae 1775; dole: latinský nápis; vľavo dole: Pomp. de Battoni ad vivum pinxit Romae 1769";"portrét"
"Piranesi, Giovanni Battista";"1752";"18. storočie, 2. polovica, 1752";;;;;"G 2422";;;"Čičo, Martin";"papier, ručný, nažltlý";"výška 40.9 cm; šírka 62.6 cm";"1.1.1951";"Pohľad na Palazzo Mancini na Via del Corso v Ríme";"Pohľad na Palazzo Mancini na Via del Corso v Ríme | Palác Akadémie na Via del Corso (Predchádzajúci názov); View of Palazzo Mancini on the Via del Corso in Rome (Preklad názvu)";"SNG";"SVK:SNG.G_2422";"POZN: Prvý raz publikované 1757 – 1758. 
Lit.: Architectura delineata et sculpta. Obraz architektúry v grafike 16. – 18. storočia, 
Bratislava 2011, s. 99, kat. 18.10
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 116-117.";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vpravo dole v obraze: Gio. Batta. Piranesi Architetto dis. e inc. |; vľavo dole adresa a cena: Presso l’Autore a Strade Felice nel Palazzo Tomati vicino alla Trinità de’monti. A paoli due e mezzo.";"veduta"
"Goltzius, Hendrick";"1570 - 1590";"16. storočie, 2. polovica, 1580 okolo";;"alegórií";;;"G 2488";"1.1.1982";;"Čičo, Martin";"papier, ručný, nažltlý";"výška 18.0 cm; šírka 13.3 cm; výška 20.6 cm; šírka 14.0 cm; výška 20.0 cm; šírka 13.9 cm";"1.1.1951";"Práca a usilovnosť";"Práca a usilovnosť";"SNG";"SVK:SNG.G_2488";"POZN: ";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: Henricus Goltius in...-; vľavo dole: I.1582";"figurálna kompozícia"
"Bloemaert, Frederick | Bloemaert, Abraham";"1640 - 1660";"17. storočie, polovica, 1640-1660";"1.1.1960";"Štyri ročné obdobia";;;"G 3159";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 14.8 cm; šírka 10.7 cm; výška 16.3 cm; šírka 11.0 cm";"1.1.1960";"Jar";"Jar";"SNG";"SVK:SNG.G_3159";"POZN: ";"1938";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: Fred:Bloemaert.Ab:F:Sculp.; dole: text; vľavo dole: Ab.Bloemaert Pinx.; v strede: VER";"figurálna kompozícia"
"Bloemaert, Frederick | Bloemaert, Abraham";"1640 - 1660";"17. storočie, polovica, 1640-1660";"1.1.1960";"Štyri ročné obdobia";;;"G 3160";"1.1.1982";"39. NK";"Čičo, Martin";"papier, zažltlý";"výška 14.8 cm; šírka 10.5 cm; výška 16.3 cm; šírka 10.8 cm";"1.1.1960";"Leto";"Leto";"SNG";"SVK:SNG.G_3160";"POZN: ";"1938";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: 2; v strede dole: AESTAS";"figurálna kompozícia"
"Bloemaert, Frederick | Bloemaert, Abraham";"1640 - 1660";"17. storočie, polovica, 1640-1660";"1.1.1960";"Štyri ročné obdobia";;;"G 3162";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 14.8 cm; šírka 10.5 cm; výška 16.5 cm; šírka 10.7 cm";"1.1.1960";"Zima";"Zima";"SNG";"SVK:SNG.G_3162";"POZN: ";"1938";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: 4; v strede dole: HYEMS mer Privil";"figurálna kompozícia"
"Ruisdael, Jacob Isaackszon van";"1646 - 1656";"17. storočie, polovica, 1646-1656";"1.1.1960";;;;"G 3163";;"39. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 19.8 cm; šírka 28.3 cm";"1.1.1960";"Starý les (Dvaja sedliaci so psom) ";"Starý les (Dvaja sedliaci so psom) ";"SNG";"SVK:SNG.G_3163";"POZN: 
Lit.: Kordošová 1992, kat. 100;
Bludní Holanďania 2007, s. 80;
B 1, s. 302, kat. 2-1 (312); H XX, s. 169, kat. 2.
";"1939";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"v strede dole: JRuisdael. f.  ";"krajina"
"Goltzius, Hendrick - autor predlohy | Neznámy grafik";"1586";"16. storočie, 2. polovica, 1586";"1.1.1960";"Štyri živly (I-IV)";;;"G 3164";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, našedlý";"výška 21.7 cm; šírka 15.8 cm; výška 22.0 cm; šírka 16.0 cm";"1.1.1960";"Oheň";"Oheň";"SNG";"SVK:SNG.G_3164";"POZN: 
Lit.: H VIII, s. 138, kat. 495-498; Bludní Holanďania 2007, s. 72.";"1941";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované dole v obraze: HGoltzius excudebat Ao 1586; Text dole pod obrazom: Ignea conuexi vis, sine pondere coelum / 		
Emicuit, summaq[ue] locum sibi legit in arce. (Ovídius, Metamorfózy, 1, 26) 
";"figurálna kompozícia"
"Goltzius, Hendrick - autor predlohy | Neznámy grafik";"1586";"16. storočie, 2. polovica, 1586";"1.1.1960";"Štyri živly (I-IV)";;;"G 3165";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 21.4 cm; šírka 15.7 cm; výška 21.7 cm; šírka 16.0 cm";"1.1.1960";"Voda";"Voda";"SNG";"SVK:SNG.G_3165";"POZN: 
Lit.: H VIII, s. 138, kat. 495-498; Bludní Holanďania 2007, s. 72.



";"1941";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Neznačené: ; Text dole pod obrazom: Vndosus, latiq[ue] maris circufluus humor /	
Vltima possedit, solidumq[ue] coercuit orbem. (Ovídius, Metamorfózy, 1, 30-31)
";"figurálna kompozícia"
"Goltzius, Hendrick - autor predlohy | Neznámy grafik";"1586";"16. storočie, 2. polovica, 1586";"1.1.1960";"Štyri živly (I-IV)";;;"G 3166";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, našedlý";"výška 21.6 cm; šírka 15.7 cm; výška 22.0 cm; šírka 16.0 cm";"1.1.1960";"Vzduch";"Vzduch";"SNG";"SVK:SNG.G_3166";"POZN: 
Lit.: H VIII, s. 138, kat. 495-498; Bludní Holanďania 2007, s. 72.";"1941";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Neznačené: ; Text dole pod obrazom: Proximus est aer illi leuitate, locoq[ue], / Quo spirant, et cuncta fouent animalia vitam. (Ovídius, Metamorfózy, 1, 28)

";"figurálna kompozícia"
"Goltzius, Hendrick - autor predlohy | Neznámy grafik";"1586";"16. storočie, 2. polovica, 1586";"1.1.1960";"Štyri živly (I-IV)";;;"G 3167";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, našedlý";"výška 21.6 cm; šírka 15.9 cm; výška 22.0 cm; šírka 16.0 cm";"1.1.1960";"Zem";"Zem";"SNG";"SVK:SNG.G_3167";"POZN: 
Lit.: H VIII, s. 138, kat. 495-498; Bludní Holanďania 2007, s. 72.";"1941";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Neznačené: ; Text dole pod obrazom: Densior his tellus, elementaq[ue] grandia traxit, / Et pressa est grauitate sui, medioq[ue] resedit. (Ovídius, Metamorfózy, 1, 29-30)
";"figurálna kompozícia"
"Both, Jan | Both, Adries";"1628 - 1648";"17. storočie, 1. polovica, 1638 okolo";"1.1.1960";"Päť zmyslov";;;"G 3174";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 22.4 cm; šírka 17.5 cm; výška 22.8 cm; šírka 17.9 cm";"1.1.1960";"Zrak";"Zrak";"SNG";"SVK:SNG.G_3174";"POZN: úhrnná cena-za 5 grafických listov G 3174-G 3178";"1944";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: Jan Both.Fecit.; dole: text; vľavo dole: A.Both f.";"figurálna kompozícia"
"Both, Jan | Both, Adries";"1628 - 1648";"17. storočie, 1. polovica, 1638 okolo";"1.1.1960";"Päť zmyslov";;;"G 3175";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 22.6 cm; šírka 17.5 cm; výška 23.0 cm; šírka 17.8 cm";"1.1.1960";"Sluch";"Sluch";"SNG";"SVK:SNG.G_3175";"POZN: ";"1944";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"dole: text; vpravo dole: Both.Fecit.; vľavo dole v obraze: 2; vľavo dole: A.Both Inv.; vľavo hore v obraze: t`GEHOOR";"figurálna kompozícia"
"Both, Jan | Both, Adries";"1628 - 1648";"17. storočie, 1. polovica, 1638 okolo";"1.1.1960";"Päť zmyslov";;;"G 3176";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 22.4 cm; šírka 17.3 cm";"1.1.1960";"Čuch";"Čuch";"SNG";"SVK:SNG.G_3176";"POZN: ";"1944";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"dole: text; vpravo hore v obraze: DE REUCK; vpravo dole: Both.Fecit.; vpravo dole v obraze: 3; vľavo dole: A.Both Inven.";"figurálna kompozícia"
"Both, Jan | Both, Adries";"1628 - 1648";"17. storočie, 1. polovica, 1638 okolo";"1.1.1960";"Päť zmyslov";;;"G 3177";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 23.0 cm; šírka 17.9 cm; výška 22.6 cm; šírka 17.6 cm";"1.1.1960";"Chuť";"Chuť";"SNG";"SVK:SNG.G_3177";"POZN: ";"1944";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"v strede dole: text; vpravo dole: Both.Fecit.4; vľavo dole: A.Both Inven; vľavo dole v obraze: 4; vpravo hore v obraze: DE SMAEK";"figurálna kompozícia"
"Both, Jan | Both, Adries";"1628 - 1648";"17. storočie, 1. polovica, 1638 okolo";"1.1.1960";"Päť zmyslov";;;"G 3178";"1.1.1982";"39. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 22.5 cm; šírka 17.4 cm; výška 22.8 cm; šírka 17.7 cm";"1.1.1960";"Hmat";"Hmat";"SNG";"SVK:SNG.G_3178";"POZN: ";"1944";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole v obraze: 5; vpravo hore v obraze: t`GEVOEL; vpravo dole: Both.Fecit.; v strede dole: text; vľavo dole: A.Both Inven";"figurálna kompozícia"
"Neznámy rytec | Vos, Maarten de - autor predlohy";"1590 - 1600";"16. storočie, 2. polovica, 1590-1600";"1.1.1960";"Štyri ročné obdobia";;;"G 3186";;"39. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 10.4 cm; šírka 13.3 cm";"1.1.1960";"Jar (1)";"Jar (1)";"SNG";"SVK:SNG.G_3186";"POZN: 
Lit.: Kordošová 1992, kat. 20;
Bludní Holanďania 2007, s. 87;
H XLIV, s. 283, kat. 1424-1427. 
";"1948";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole: Marti. de Vos inuen. ; Vpravo dole: Phls Galle excud.; Nápis dole pod obrazom: VER.; Vpravo dole: 1";"figurálna kompozícia"
